experiment_id,timestamp,run_id,image_name,image_size,image_dimensions,payload_size_bytes,method_name,color_channels,theoretical_capacity_bytes,capacity_utilization_ratio,success,error,processing_stages,actual_image_shape,image_size_bytes,actual_message_size,message_entropy,compressed_size_bytes,tree_size_bytes,total_payload_size,compression_ratio,compression_efficiency,encrypted_size_bytes,encryption_overhead,total_embedded_size,embedding_rate,psnr_db,mse,max_pixel_error,total_time,psnr_per_channel,psnr_std,message_integrity,bit_error_rate,character_accuracy
20260118_132628,2026-01-18T13:27:03.575280,baboon_256_500_DWT_DCT_color,baboon,256,256x256,500,DWT_DCT_color,3,22118,0.02260602224432589,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.00452423095703125, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.09988188743591309, 'embedding': 0.0827946662902832, 'quality_analysis': 0.002882242202758789, 'extraction': 0.08008718490600586}","(256, 256, 3)",196608,500,4.397582645859516,278,1395,1677,0.2981514609421586,-2.354,2032,387,2064,0.010498046875,46.11991990163519,1.5889689127604167,5.0,0.3709101676940918,"[46.07383578803003, 46.18696626964804, 46.09895764722749]",0.04850559108783422,,,
20260118_132628,2026-01-18T13:27:03.946190,baboon_256_1000_DWT_DCT_color,baboon,256,256x256,1000,DWT_DCT_color,3,22118,0.04521204448865178,False,Decryption failed: 'utf-8' codec can't decode byte 0x86 in position 3: invalid start byte,"{'image_loading': 0.0, 'message_generation': 0.0, 'compression': 0.007168292999267578, 'encryption': 0.09618186950683594, 'embedding': 0.09725093841552734, 'quality_analysis': 0.0, 'extraction': 0.09680032730102539}","(256, 256, 3)",196608,1000,4.408307615031233,556,1398,1958,0.5107252298263534,-0.958,2480,554,2512,0.012776692708333334,45.47594762277735,1.8428497314453125,6.0,0.4002509117126465,"[45.49937737014509, 45.45191380586684, 45.47655169232012]",0.01938162632509362,,,
20260118_132628,2026-01-18T13:27:04.346441,baboon_256_2500_DWT_DCT_color,baboon,256,256x256,2500,DWT_DCT_color,3,22118,0.11303011122162944,False,Decryption failed: 'utf-8' codec can't decode byte 0xcb in position 32: invalid continuation byte,"{'image_loading': 0.0, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10505008697509766, 'embedding': 0.13013648986816406, 'quality_analysis': 0.0, 'extraction': 0.13775253295898438}","(256, 256, 3)",196608,2500,4.419990944489446,1391,1407,2802,0.8922198429693077,-0.12080000000000002,3776,1006,3808,0.019368489583333332,43.891705623208765,2.654139200846354,7.0,0.466461181640625,"[43.928240659333696, 43.845018963197276, 43.901857247095315]",0.03472515205252196,,,
20260118_132628,2026-01-18T13:27:04.812902,baboon_256_5000_DWT_DCT_color,baboon,256,256x256,5000,DWT_DCT_color,3,22118,0.22606022244325888,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.012502908706665039, 'message_generation': 0.0, 'compression': 0.0044896602630615234, 'encryption': 0.10315227508544922, 'embedding': 0.21571660041809082, 'quality_analysis': 0.0, 'extraction': 0.19799590110778809}","(256, 256, 3)",196608,5000,4.420564542645487,2780,1419,4203,1.1896264572924102,0.1594,5920,1749,5952,0.0302734375,42.15687256225047,3.957331339518229,9.0,0.6347944736480713,"[42.1704094608128, 42.11733336294907, 42.18287486298954]",0.028417808664098425,,,
20260118_132628,2026-01-18T13:27:05.447697,baboon_256_10000_DWT_DCT_color,baboon,256,256x256,10000,DWT_DCT_color,3,22118,0.45212044488651776,False,Decryption failed: 'utf-8' codec can't decode byte 0xc3 in position 2655: invalid continuation byte,"{'image_loading': 0.0, 'message_generation': 0.008051633834838867, 'compression': 0.0013720989227294922, 'encryption': 0.10622429847717285, 'embedding': 0.3205685615539551, 'quality_analysis': 0.008036136627197266, 'extraction': 0.31264781951904297}","(256, 256, 3)",196608,10000,4.4195894502073365,5558,1431,6993,1.43000143000143,0.30069999999999997,10192,3231,10224,0.052001953125,39.87892857964624,6.686421712239583,9.0,0.8640949726104736,"[39.87498595489898, 39.85253684572192, 39.90926293831782]",0.023325531258301377,,,
20260118_132628,2026-01-18T13:27:06.311791,peppers_256_10_DWT_DCT_grayscale,peppers,256,256x256,10,DWT_DCT_grayscale,1,7372,0.0013564839934888768,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.0035223960876464844, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.09889030456542969, 'embedding': 0.032460689544677734, 'quality_analysis': 0.0, 'extraction': 0.027880191802978516}","(256, 256)",65536,10,3.121928094887362,5,448,457,0.02188183807439825,-44.7,528,103,560,0.008544921875,48.243313772881834,0.97442626953125,6.0,0.2633528709411621,,,,,
20260118_132628,2026-01-18T13:27:06.575144,peppers_256_25_DWT_DCT_grayscale,peppers,256,256x256,25,DWT_DCT_grayscale,1,7372,0.003391209983722192,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.004762887954711914, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.1007232666015625, 'embedding': 0.04053544998168945, 'quality_analysis': 0.0, 'extraction': 0.03354072570800781}","(256, 256)",65536,25,3.753269689515107,13,718,735,0.034013605442176874,-28.4,848,145,880,0.013427734375,46.10070128494102,1.595916748046875,6.0,0.27639126777648926,,,,,
20260118_132628,2026-01-18T13:27:06.851536,peppers_256_50_DWT_DCT_grayscale,peppers,256,256x256,50,DWT_DCT_grayscale,1,7372,0.006782419967444384,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.009213447570800781, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10520029067993164, 'embedding': 0.04591226577758789, 'quality_analysis': 0.0034711360931396484, 'extraction': 0.03574180603027344}","(256, 256)",65536,50,4.063144940981576,27,943,974,0.0513347022587269,-18.48,1136,194,1168,0.017822265625,44.961171939425114,2.074737548828125,7.0,0.2968571186065674,,,,,
20260118_132628,2026-01-18T13:27:07.148393,peppers_256_100_DWT_DCT_grayscale,peppers,256,256x256,100,DWT_DCT_grayscale,1,7372,0.013564839934888768,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.011826753616333008, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10160970687866211, 'embedding': 0.05321979522705078, 'quality_analysis': 0.0, 'extraction': 0.03473019599914551}","(256, 256)",65536,100,4.172990526954634,54,1078,1136,0.0880281690140845,-10.36,1328,224,1360,0.020751953125,44.217805553656,2.462066650390625,7.0,0.30527186393737793,,,,,
20260118_132628,2026-01-18T13:27:07.453664,peppers_256_250_DWT_DCT_grayscale,peppers,256,256x256,250,DWT_DCT_grayscale,1,7372,0.03391209983722192,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.00992894172668457, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10578250885009766, 'embedding': 0.06046032905578613, 'quality_analysis': 0.006203889846801758, 'extraction': 0.0603787899017334}","(256, 256)",65536,250,4.410014710941875,140,1393,1537,0.16265452179570591,-5.148,1824,319,1856,0.0283203125,42.899200675341184,3.3354949951171875,9.0,0.353534460067749,,,,,
20260118_132628,2026-01-18T13:27:07.807199,peppers_256_500_DWT_DCT_grayscale,peppers,256,256x256,500,DWT_DCT_grayscale,1,7372,0.06782419967444384,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.0011179447174072266, 'message_generation': 0.0, 'compression': 0.003918886184692383, 'encryption': 0.10523128509521484, 'embedding': 0.0818941593170166, 'quality_analysis': 0.0, 'extraction': 0.07274150848388672}","(256, 256)",65536,500,4.397582645859516,278,1395,1677,0.2981514609421586,-2.354,2032,387,2064,0.031494140625,42.38934243657444,3.7509918212890625,9.0,0.37377381324768066,,,,,
