experiment_id,timestamp,run_id,image_name,image_size,image_dimensions,payload_size_bytes,method_name,color_channels,theoretical_capacity_bytes,capacity_utilization_ratio,success,error,processing_stages,actual_image_shape,image_size_bytes,actual_message_size,message_entropy,compressed_size_bytes,tree_size_bytes,total_payload_size,compression_ratio,compression_efficiency,encrypted_size_bytes,encryption_overhead,total_embedded_size,embedding_rate,psnr_db,mse,max_pixel_error,message_integrity,bit_error_rate,character_accuracy,total_time,psnr_per_channel,psnr_std
20260116_212128,2026-01-16T21:22:30.107337,lena_512_1000_DWT_DCT_grayscale,lena,512,512x512,1000,DWT_DCT_grayscale,1,29491,0.03390865009663965,True,,"{'image_loading': 0.003207683563232422, 'message_generation': 0.008074045181274414, 'compression': 0.0, 'encryption': 0.10204029083251953, 'embedding': 0.14010238647460938, 'quality_analysis': 0.0, 'extraction': 0.12155318260192871, 'decryption_decompression': 0.1195530891418457}","(512, 512)",262144,1000,4.408307615031233,556,1398,1958,0.5107252298263534,-0.958,2480,554,2512,0.00958251953125,48.238623803923076,0.9754791259765625,4.0,True,0.0,1.0,0.49453067779541016,,
20260116_212128,2026-01-16T21:22:30.601868,lena_512_2500_DWT_DCT_grayscale,lena,512,512x512,2500,DWT_DCT_grayscale,1,29491,0.08477162524159913,True,,"{'image_loading': 0.008419990539550781, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10565018653869629, 'embedding': 0.1886758804321289, 'quality_analysis': 0.002052783966064453, 'extraction': 0.14005327224731445, 'decryption_decompression': 0.1083517074584961}","(512, 512)",262144,2500,4.419990944489446,1391,1407,2802,0.8922198429693077,-0.12080000000000002,3776,1006,3808,0.0145263671875,46.43047196145674,1.4792213439941406,4.0,True,0.0,1.0,0.553203821182251,,
20260116_212128,2026-01-16T21:22:31.165885,lena_512_5000_DWT_DCT_grayscale,lena,512,512x512,5000,DWT_DCT_grayscale,1,29491,0.16954325048319827,True,,"{'image_loading': 0.005683183670043945, 'message_generation': 0.0, 'compression': 0.0068111419677734375, 'encryption': 0.1111457347869873, 'embedding': 0.2326364517211914, 'quality_analysis': 0.00354766845703125, 'extraction': 0.21865630149841309, 'decryption_decompression': 0.1135411262512207}","(512, 512)",262144,5000,4.420564542645487,2780,1419,4203,1.1896264572924102,0.1594,5920,1749,5952,0.022705078125,44.470529119617844,2.3228836059570312,5.0,True,0.0,1.0,0.6920216083526611,,
20260116_212128,2026-01-16T21:22:31.857906,lena_512_10000_DWT_DCT_grayscale,lena,512,512x512,10000,DWT_DCT_grayscale,1,29491,0.33908650096639653,False,Decryption failed: 'utf-8' codec can't decode byte 0xc2 in position 7743: invalid continuation byte,"{'image_loading': 0.013700485229492188, 'message_generation': 0.0, 'compression': 0.0035381317138671875, 'encryption': 0.10318255424499512, 'embedding': 0.34720683097839355, 'quality_analysis': 0.01055145263671875, 'extraction': 0.28411173820495605}","(512, 512)",262144,10000,4.4195894502073365,5558,1431,6993,1.43000143000143,0.30069999999999997,10192,3231,10224,0.03900146484375,42.14824199917592,3.965118408203125,7.0,,,,0.8639335632324219,,
20260116_212128,2026-01-16T21:22:32.721840,lena_512_10_DWT_DCT_color,lena,512,512x512,10,DWT_DCT_color,3,88473,0.0001130288336554655,True,,"{'image_loading': 0.01365804672241211, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.1084737777709961, 'embedding': 0.11077761650085449, 'quality_analysis': 0.021048307418823242, 'extraction': 0.07493424415588379, 'decryption_decompression': 0.10505366325378418}","(512, 512, 3)",786432,10,3.121928094887362,5,448,457,0.02188183807439825,-44.7,528,103,560,0.0007120768229166666,59.19788221084642,0.07843017578125,4.0,True,0.0,1.0,0.4339456558227539,"[58.77934814116064, 59.55848382654641, 59.255814664832236]",0.32070779117342
20260116_212128,2026-01-16T21:22:33.155786,lena_512_25_DWT_DCT_color,lena,512,512x512,25,DWT_DCT_color,3,88473,0.0002825720841386638,True,,"{'image_loading': 0.014484405517578125, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10717105865478516, 'embedding': 0.11234331130981445, 'quality_analysis': 0.03265023231506348, 'extraction': 0.067230224609375, 'decryption_decompression': 0.1240377426147461}","(512, 512, 3)",786432,25,3.753269689515107,13,718,735,0.034013605442176874,-28.4,848,145,880,0.0011189778645833333,57.159003096284074,0.1251195271809896,4.0,True,0.0,1.0,0.4579169750213623,"[57.059277583145615, 57.31630948485388, 57.101422220852726]",0.11255522358831206
20260116_212128,2026-01-16T21:22:33.613703,lena_512_50_DWT_DCT_color,lena,512,512x512,50,DWT_DCT_color,3,88473,0.0005651441682773276,True,,"{'image_loading': 0.008139848709106445, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.11830925941467285, 'embedding': 0.11604690551757812, 'quality_analysis': 0.03525972366333008, 'extraction': 0.09807157516479492, 'decryption_decompression': 0.09908938407897949}","(512, 512, 3)",786432,50,4.063144940981576,27,943,974,0.0513347022587269,-18.48,1136,194,1168,0.0014851888020833333,55.9041962055957,0.16718292236328125,4.0,True,0.0,1.0,0.4749166965484619,"[55.608736096070295, 55.99608649454769, 56.107766026169124]",0.21383885940332134
20260116_212128,2026-01-16T21:22:34.094005,lena_512_100_DWT_DCT_color,lena,512,512x512,100,DWT_DCT_color,3,88473,0.0011302883365546551,True,,"{'image_loading': 0.008538007736206055, 'message_generation': 0.0010218620300292969, 'compression': 0.00030422210693359375, 'encryption': 0.10056829452514648, 'embedding': 0.13381719589233398, 'quality_analysis': 0.026771068572998047, 'extraction': 0.09201622009277344, 'decryption_decompression': 0.11471915245056152}","(512, 512, 3)",786432,100,4.172990526954634,54,1078,1136,0.0880281690140845,-10.36,1328,224,1360,0.0017293294270833333,55.21730221173754,0.19569905598958334,4.0,True,0.0,1.0,0.4777560234069824,"[55.14449255987262, 55.0883833057965, 55.4190307695435]",0.1444711513857787
20260116_212128,2026-01-16T21:22:34.576334,lena_512_250_DWT_DCT_color,lena,512,512x512,250,DWT_DCT_color,3,88473,0.0028257208413866378,True,,"{'image_loading': 0.0074765682220458984, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10721373558044434, 'embedding': 0.15017127990722656, 'quality_analysis': 0.019201993942260742, 'extraction': 0.1316685676574707, 'decryption_decompression': 0.09889698028564453}","(512, 512, 3)",786432,250,4.410014710941875,140,1393,1537,0.16265452179570591,-5.148,1824,319,1856,0.0023600260416666665,53.830064836822366,0.2693939208984375,4.0,True,0.0,1.0,0.5146291255950928,"[53.85221309784897, 53.61790353150066, 54.02007788111745]",0.16493223047118405
20260116_212128,2026-01-16T21:22:35.096819,lena_512_500_DWT_DCT_color,lena,512,512x512,500,DWT_DCT_color,3,88473,0.0056514416827732755,True,,"{'image_loading': 0.01005411148071289, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.11366009712219238, 'embedding': 0.15258359909057617, 'quality_analysis': 0.02657032012939453, 'extraction': 0.12439703941345215, 'decryption_decompression': 0.11619830131530762}","(512, 512, 3)",786432,500,4.397582645859516,278,1395,1677,0.2981514609421586,-2.354,2032,387,2064,0.00262451171875,53.310129590808025,0.3037465413411458,4.0,True,0.0,1.0,0.5434634685516357,"[53.3831357578117, 53.04249919780548, 53.504753816806875]",0.19564808289793786
